"","Raw","Clipped","Trimmed","Merged","SampleID","Final","Primer"
"1",351279,336372,305921,282199,"X10",228428,"V4V5"
"2",204849,196720,179510,164002,"X11",127465,"V4V5"
"3",123639,115499,94829,75953,"X12",53418,"V4V5"
"4",91129,86371,69431,53173,"X13",36847,"V4V5"
"5",76331,72594,60229,48885,"X14",37313,"V4V5"
"6",116848,111529,94345,75039,"X15",52298,"V4V5"
"7",102131,96923,78776,61973,"X16",43412,"V4V5"
"8",119553,113700,96435,82929,"X17",66114,"V4V5"
"9",119618,113764,94149,74520,"X18",51604,"V4V5"
"10",95485,90852,75582,58408,"X19",40185,"V4V5"
"11",176743,172282,167205,139260,"X1",85313,"V4V5"
"12",118248,112561,95007,80995,"X20",66892,"V4V5"
"13",108438,102834,83252,67319,"X21",46938,"V4V5"
"14",69513,66055,54793,44268,"X22",31136,"V4V5"
"15",104457,99429,84340,72886,"X23",60648,"V4V5"
"16",73229,69473,56471,46439,"X24",30297,"V4V5"
"17",189207,177217,174411,149736,"X25",117390,"V4V5"
"18",220098,208507,204842,167494,"X26",136828,"V4V5"
"19",135350,128621,125768,83015,"X27",56726,"V4V5"
"20",147127,139330,137293,107961,"X28",54603,"V4V5"
"21",138043,131563,129390,102374,"X29",68083,"V4V5"
"22",152382,147853,143621,119078,"X2",61085,"V4V5"
"23",214565,203741,200980,174235,"X30",121290,"V4V5"
"24",172048,167040,162416,135136,"X3",84569,"V4V5"
"25",91326,87919,84556,66013,"X4",35760,"V4V5"
"26",118818,115063,104965,96394,"X5",75797,"V4V5"
"27",382560,367169,334062,308339,"X6",249888,"V4V5"
"28",157973,152322,139850,129390,"X7",104437,"V4V5"
"29",144358,137778,123941,112674,"X8",89630,"V4V5"
"30",288721,278801,254749,231919,"X9",188712,"V4V5"
