"","Expedition","Station","Environment","Depth","Primer","Raw","Clipped","Trimmed","Merged","Swarm","Final","Observed","Chao1","Completness","Shannon","Simpson","Evenness"
"1","PS101",149,"Surface-water",1.5,"V3V4",191021,182391,167079,117703,83925,73400,525,669,78.44,3.68,0.91,0.59
"2","PS101",149,"Deep-water",600,"V3V4",97822,93002,84819,57657,49904,47300,1819,2102,86.53,5.53,0.98,0.74
"3","PS101",149,"Deep-water",750,"V3V4",145910,138883,127576,90151,77202,73100,1989,2229,89.23,5.49,0.97,0.72
"4","PS101",172,"Surface-water",1,"V3V4",97457,92994,85422,61012,45170,38678,441,653,67.52,3.71,0.92,0.61
"5","PS101",172,"Deep-water",600,"V3V4",186160,177384,162144,112440,93386,89721,1927,2159,89.25,5.38,0.98,0.71
"6","PS101",172,"Deep-water",620,"V3V4",183399,174666,160294,112789,93729,89364,2048,2278,89.89,5.56,0.98,0.73
"7","PS101",175,"Surface-water",10,"V3V4",123796,118002,108029,73660,49418,39419,467,582,80.23,3.97,0.95,0.65
"8","PS101",175,"Deep-water",1000,"V3V4",118559,112795,103696,71944,59586,55975,1648,1868,88.23,5.33,0.97,0.72
"9","PS99",43,"Surface-water",10,"V3V4",216979,204264,202862,190863,153963,114123,513,587,87.38,3.21,0.9,0.51
"10","PS99",43,"Surface-water",28,"V3V4",190178,177364,176113,165432,137776,115327,527,690,76.33,2.8,0.81,0.45
"11","PS99",48,"Sea-ice",0,"V3V4",217601,205471,180832,88892,67607,53906,336,390,86.17,3.73,0.94,0.64
"12","PS99",51,"Surface-water",5,"V3V4",52557,49999,45307,22879,20449,12791,339,456,74.32,3.62,0.94,0.62
"13","PS99",51,"Surface-water",13,"V3V4",43250,40942,37322,20389,18559,14286,380,526,72.28,3.36,0.91,0.57
"14","PS99",62,"Surface-water",10,"V3V4",263623,244236,242987,229847,176602,165711,374,491,76.19,3.88,0.96,0.65
"15","PS99",62,"Surface-water",20,"V3V4",332173,306680,304688,286097,225710,211652,427,494,86.52,4.1,0.97,0.68
"16","PS99",48,"Sediment",5000,"V3V4",114178,109283,101586,71727,59397,54612,3002,3514,85.43,6.66,1,0.83
"17","PS99",51,"Sediment",5000,"V3V4",79007,75496,70712,55293,47590,43538,3769,4623,81.52,6.86,1,0.83
"18","PS99",57,"Sediment",5000,"V3V4",74420,70901,65702,44583,35135,32892,3514,4349,80.8,7.16,1,0.88
"19","PS99",42,"Sediment",5000,"V3V4",86775,83105,77626,55855,47963,44223,3958,4652,85.07,6.97,1,0.84
"20","PS99",52,"Sediment",5000,"V3V4",66784,63668,59131,45368,38842,36063,3810,4705,80.98,7.04,1,0.85
"21","PS99",53,"Sediment",5000,"V3V4",110525,106092,100416,79457,69859,64766,4066,4619,88.02,6.9,1,0.83
"22","PS99",51,"Sea-ice",0,"V3V4",180343,169794,150819,81275,56716,54504,301,400,75.17,2.81,0.78,0.49
"23","PS99",41,"Sediment",5000,"V3V4",135067,128856,119438,92720,79194,73232,4208,4638,90.74,6.99,1,0.84
"24","PS101",97,"Deep-water",600,"V3V4",91680,87072,77850,51709,42937,40645,1751,2077,84.29,5.46,0.98,0.73
"25","PS101",97,"Deep-water",853,"V3V4",91762,87041,78096,51062,42264,39278,1713,2025,84.61,5.6,0.98,0.75
"26","PS99",53,"Sea-ice",0,"V3V4",169777,158428,139355,70658,50043,47391,238,273,87.18,3.82,0.94,0.7
"27","PS101",126,"Surface-water",10,"V3V4",167233,159039,143954,98012,73820,69754,527,698,75.53,3.72,0.91,0.59
"28","PS101",126,"Deep-water",600,"V3V4",131192,125102,113870,76742,65000,61512,1869,2089,89.46,5.62,0.97,0.75
"29","PS101",126,"Deep-water",1000,"V3V4",111732,106478,97302,67779,56870,53382,1930,2211,87.31,5.7,0.98,0.75
"30","PS99",59,"Sea-ice",0,"V3V4",159668,150179,132053,66486,49819,46224,253,290,87.16,3.49,0.94,0.63
"31","PS99",51,"Sediment",5000,"V4V5",351279,336372,305921,282199,243396,232742,6353,6866,92.52,6.78,1,0.77
"32","PS99",48,"Sediment",5000,"V4V5",204849,196720,179510,164002,135912,128679,5048,5867,86.05,6.86,1,0.8
"33","PS101",97,"Deep-water",600,"V4V5",123639,115499,94829,75953,61606,53826,1690,1829,92.4,5.79,0.99,0.78
"34","PS101",97,"Deep-water",853,"V4V5",91129,86371,69431,53173,43179,37134,1624,1923,84.43,5.82,0.99,0.79
"35","PS101",126,"Surface-water",10,"V4V5",76331,72594,60229,48885,41647,37524,396,490,80.82,3.54,0.92,0.59
"36","PS101",126,"Deep-water",600,"V4V5",116848,111529,94345,75039,63012,52635,1690,1887,89.56,5.89,0.99,0.79
"37","PS101",126,"Deep-water",1000,"V4V5",102131,96923,78776,61973,49888,43748,1747,2041,85.61,5.89,0.99,0.79
"38","PS101",149,"Surface-water",1.5,"V4V5",119553,113700,96435,82929,71896,66439,420,543,77.4,3.23,0.91,0.53
"39","PS101",149,"Deep-water",600,"V4V5",119618,113764,94149,74520,60192,52159,1747,1951,89.54,5.83,0.99,0.78
"40","PS101",149,"Deep-water",750,"V4V5",95485,90852,75582,58408,47400,40443,1725,2015,85.61,5.83,0.99,0.78
"41","PS99",48,"Sea-ice",0,"V4V5",176743,172282,167205,139260,115050,86169,345,420,82.11,3.46,0.88,0.59
"42","PS101",172,"Surface-water",1,"V4V5",118248,112561,95007,80995,71362,67244,413,546,75.63,3.15,0.9,0.52
"43","PS101",172,"Deep-water",600,"V4V5",108438,102834,83252,67319,55495,48243,1669,1860,89.72,5.76,0.99,0.78
"44","PS101",172,"Deep-water",620,"V4V5",69513,66055,54793,44268,36413,31542,1589,1850,85.91,5.82,0.99,0.79
"45","PS101",175,"Surface-water",10,"V4V5",104457,99429,84340,72886,65019,61025,425,558,76.16,2.93,0.86,0.48
"46","PS101",175,"Deep-water",1000,"V4V5",73229,69473,56471,46439,38316,30699,1426,1654,86.19,5.86,0.99,0.81
"47","PS99",43,"Surface-water",10,"V4V5",189207,177217,174411,149736,126413,117413,457,594,76.94,2.66,0.81,0.44
"48","PS99",43,"Surface-water",28,"V4V5",220098,208507,204842,167494,142325,136943,460,585,78.63,1.75,0.52,0.28
"49","PS99",51,"Surface-water",5,"V4V5",135350,128621,125768,83015,65055,56983,488,608,80.27,3,0.85,0.48
"50","PS99",51,"Surface-water",13,"V4V5",147127,139330,137293,107961,85328,54787,555,707,78.54,3.44,0.91,0.54
"51","PS99",62,"Surface-water",10,"V4V5",138043,131563,129390,102374,80425,68665,315,366,86.17,3.47,0.93,0.6
"52","PS99",51,"Sea-ice",0,"V4V5",152382,147853,143621,119078,106268,61171,314,405,77.45,3.72,0.95,0.65
"53","PS99",62,"Surface-water",20,"V4V5",214565,203741,200980,174235,133957,122585,417,476,87.69,3.81,0.95,0.63
"54","PS99",53,"Sea-ice",0,"V4V5",172048,167040,162416,135136,112387,86403,289,346,83.41,4.06,0.97,0.72
"55","PS99",59,"Sea-ice",0,"V4V5",91326,87919,84556,66013,49722,35816,242,346,69.92,3.86,0.96,0.7
"56","PS99",57,"Sediment",5000,"V4V5",118818,115063,104965,96394,80684,77022,5543,6556,84.55,7.14,1,0.83
"57","PS99",42,"Sediment",5000,"V4V5",382560,367169,334062,308339,267549,254526,6654,7050,94.38,6.96,1,0.79
"58","PS99",52,"Sediment",5000,"V4V5",157973,152322,139850,129390,111807,106405,6137,6960,88.18,7,1,0.8
"59","PS99",53,"Sediment",5000,"V4V5",144358,137778,123941,112674,95875,91389,5867,7064,83.05,6.86,1,0.79
"60","PS99",41,"Sediment",5000,"V4V5",288721,278801,254749,231919,201426,192430,6454,7032,91.78,6.92,1,0.79
