"","Expedition","Station","Type","Depth","merging","Sequences","Observed","Chao1","Completness","Shanonn","Simpson","Evenness","Primer"
"X10","PS99",51,"Sediment",5000,"Sediment",228428,5056,8215.26002055498,0.61544004539718,6.93252274383442,0.99567175567116,0.812881535203045,"V4V5"
"X11","PS99",48,"Sediment",5000,"Sediment",127465,5404,8042.49815157116,0.671930524341406,7.2733828456551,0.997096327308257,0.846244555670189,"V4V5"
"X12","PS101",97,"Water",600,"Deep-water",53418,1561,1770.14847161572,0.881846932633386,5.79356959256942,0.991301471191004,0.787910383047019,"V4V5"
"X13","PS101",97,"Water",853,"Deep-water",36847,1547,1758.58108108108,0.879686479425212,5.82860406585085,0.991557331197155,0.793647364949006,"V4V5"
"X14","PS101",126,"Water",10,"Surface-water",37313,358,397.482142857143,0.900669392155982,3.54085703943919,0.915886348718775,0.602131991713636,"V4V5"
"X15","PS101",126,"Water",600,"Deep-water",52298,1561,1798.69162995595,0.867853040511581,5.88616788563553,0.992259383966355,0.800503509856575,"V4V5"
"X16","PS101",126,"Water",1000,"Deep-water",43412,1637,1884.6814516129,0.868581795931117,5.89783800561771,0.992172218387906,0.796938303208182,"V4V5"
"X17","PS101",149,"Water",1.5,"Surface-water",66114,352,439.305084745763,0.801265480921332,3.2005167607585,0.905686544524628,0.545825046786311,"V4V5"
"X18","PS101",149,"Water",600,"Deep-water",51604,1615,1809.4140625,0.89255413311457,5.84714943910278,0.991624553605011,0.791536214202335,"V4V5"
"X19","PS101",149,"Water",750,"Deep-water",40185,1657,1890.39743589744,0.876535255779886,5.84753713210129,0.99133683638295,0.788847064111901,"V4V5"
"X1","PS99",48,"Ice",0,"Sea-ice",85313,410,532.936170212766,0.769322900031939,3.63619497225477,0.887906448606562,0.604404917579827,"V4V5"
"X20","PS101",172,"Water",1,"Surface-water",66892,322,425.551724137931,0.756664775950085,3.14300586734773,0.897489775036972,0.544285706441195,"V4V5"
"X21","PS101",172,"Water",600,"Deep-water",46938,1560,1807.99052132701,0.862836381938,5.78022787889143,0.991091572207521,0.786164458862504,"V4V5"
"X22","PS101",172,"Water",620,"Deep-water",31136,1520,1668.16593886463,0.911180335593309,5.82007986840734,0.991964459051918,0.794391207871461,"V4V5"
"X23","PS101",175,"Water",10,"Surface-water",60648,470,562.62962962963,0.835363043907577,3.05263115625206,0.86383083430949,0.496142333451212,"V4V5"
"X24","PS101",175,"Water",1000,"Deep-water",30297,1401,1514.61538461538,0.924987303199594,5.86947491011456,0.993092107753445,0.810148000860286,"V4V5"
"X25","PS99",43,"Water",10,"Surface-water",117390,381,557.909090909091,0.682906957796969,2.71451669875157,0.819622494518948,0.45677407689599,"V4V5"
"X26","PS99",43,"Water",28,"Surface-water",136828,341,558.341463414634,0.610737375502359,1.7761424284472,0.527719091354155,0.304557308101744,"V4V5"
"X27","PS99",51,"Water",5,"Surface-water",56726,440,573.085714285714,0.767773456974773,3.00073535274276,0.844485971908331,0.492992674671396,"V4V5"
"X28","PS99",51,"Water",13,"Surface-water",54603,521,613.261904761905,0.849555460651473,3.48705686389556,0.914395417505194,0.557416271529642,"V4V5"
"X29","PS99",62,"Water",10,"Surface-water",68083,425,497.794117647059,0.853766617429838,3.82927997788628,0.942479280082351,0.632720350114541,"V4V5"
"X2","PS99",51,"Ice",0,"Sea-ice",61085,405,529.078431372549,0.765481970129341,3.85512771796196,0.9551384412992,0.642105301927317,"V4V5"
"X30","PS99",62,"Water",20,"Surface-water",121290,505,634.608108108108,0.795766700027683,4.1194342599948,0.959453672344268,0.661803452694775,"V4V5"
"X3","PS99",53,"Ice",0,"Sea-ice",84569,459,534,0.859550561797753,4.27245740714739,0.97259014490413,0.697083114139668,"V4V5"
"X4","PS99",59,"Ice",0,"Sea-ice",35760,370,413.081967213115,0.895706008413366,4.05516604417495,0.964324261751972,0.685746847563706,"V4V5"
"X5","PS99",57,"Sediment",5000,"Sediment",75797,5712,7963.52807160293,0.717270027636164,7.43067771839432,0.997730290480494,0.859005660994754,"V4V5"
"X6","PS99",42,"Sediment",5000,"Sediment",249888,5472,8934.52992277992,0.612455277143156,7.12215625913888,0.996371888858443,0.827445768354768,"V4V5"
"X7","PS99",52,"Sediment",5000,"Sediment",104437,5214,7918.00196270854,0.658499457888039,7.14371051547504,0.996632965072437,0.834633121475958,"V4V5"
"X8","PS99",53,"Sediment",5000,"Sediment",89630,4995,7289.7922705314,0.685204710179743,7.001827641664,0.995627108505356,0.822178160552385,"V4V5"
"X9","PS99",41,"Sediment",5000,"Sediment",188712,5442,8849.33690360273,0.614961330920113,7.10639312592577,0.99622871985885,0.826142077945058,"V4V5"
